force_stable : True
cuda_device : 0
aux_device : 1
base_epoch : 0
eos_m_token : EOS_M
base_iter : 0
beam_len_bonus : 0.5
max_turn : 10
trunc_turn : 999
mode : unknown
m : SEDST
prev_z_method : none
last_turn_only : False
u_max_ts : 100
freq_thres : 0
q_hidden_size : 50
vocab_size : 832
embedding_size : 50
hidden_size : 50
split : (3, 1, 1)
lr : 0.001
lr_decay : 0.5
vocab_path : ./vocab/vocab09_slot_space.pkl
data : ./data/CamRest676/CamRest676.json
entity : ./data/CamRest676/CamRestOTGY.json
db : ./data/CamRest676/CamRestDB.json
glove_path : ./data/glove/glove.6B.50d.txt
batch_size : 32
degree_size : 5
z_length : 12
layer_num : 1
dropout_rate : 0.5
epoch_num : 100
cuda : False
spv_proportion : 50
alpha : 0.1
max_ts : 40
early_stop_count : 3
new_vocab : True
model_path : ./models/camrest.pkl
result_path : ./results/camrest.csv
teacher_force : 100
beam_search : False
beam_size : 5
sampling : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,user,generated_latent,latent,generated_response,response,u_len,m_len,supervised
557,0,"hello , i am looking for an expensive restaurant that serves fusion food .",serves expensive expensive EOS_Z1 none none none none none none none,none fusion expensive EOS_Z1 none none none none none none none,name_SLOT is is . . .,"i 'm sorry , there are no fusion restaurants listed in the pricerange_SLOT price range . would you like to try something else ?",15,25,True
579,0,i am looking for an expensive restaurant that serves welsh food .,welsh welsh expensive EOS_Z1 none none none none none none none,none welsh expensive EOS_Z1 none none none none none none none,name_SLOT is welsh welsh welsh welsh welsh welsh welsh .,"i apologize , there are no restaurants in the expensive price range that serve welsh food . would you like a different type of food ?",13,27,True
658,0,i am looking for a restaurant that serves japanese food . i do n't care about the price range .,japanese japanese japanese EOS_Z1 none none none none none none none,none japanese none EOS_Z1 none none none none none none none,name_SLOT is is . . .,there is not a restaurant serving japanese food . would you like a different type food ?,21,18,True
656,0,i would like a cheap restaurant that serves greek food,greek greek cheap EOS_Z1 none none none none none none none,none greek cheap EOS_Z1 none none none none none none none,name_SLOT is is . . . .,i can not locate a cheap greek restaurant . is there another one that you are interested in .,11,20,True
594,0,"hi . this might be a long shot , but can you help me find a restaurant that serves swedish food ? i do n't care about price .",swedish swedish none EOS_Z1 none none none none none none none,none swedish none EOS_Z1 none none none none none none none,name_SLOT is is . . . . .,there are no restaurants serving swedish food .,30,9,True
568,0,hi . i 'm looking for a moderately priced restaurant .,moderately moderately none EOS_Z1 none none none none none none none,none none moderate EOS_Z1 none none none none none none none,name_SLOT is is . . .,name_SLOT is a food_SLOT restaurant in the area_SLOT,12,9,True
657,0,"a moderately priced restaurant in the north part of town , please .",north moderately priced EOS_Z1 none none none none none none none,north none moderate EOS_Z1 none none none none none none none,name_SLOT is is . . . .,the name_SLOT is a nice restaurant in the north part of town and is in the moderate price range . would you like their location ?,14,27,True
605,0,"i would like to find the best , most expensive restaurant in the south part of town .",south expensive expensive EOS_Z1 none none none none none none none,south none expensive EOS_Z1 none none none none none none none,name_SLOT is is . . . .,what type of food are you looking for ?,19,10,True
621,0,i want a restaurant with corsica food please .,corsica corsica corsica EOS_Z1 none none none none none none none,none corsica none EOS_Z1 none none none none none none none,name_SLOT is is . . . . .,what is the area you would like ?,10,9,True
540,0,i am looking for a german restaurant in the west part of town .,west german german EOS_Z1 none none none none none none none,west german none EOS_Z1 none none none none none none none,name_SLOT is german german german german german german . .,there are no german restaurants in the west part of town . would you like to make another query ?,15,21,True
