force_stable : True
cuda_device : 0
aux_device : 1
base_epoch : 0
eos_m_token : EOS_M
base_iter : 0
beam_len_bonus : 0.5
max_turn : 10
trunc_turn : 999
mode : unknown
m : SEDST
prev_z_method : none
last_turn_only : False
u_max_ts : 100
freq_thres : 0
intent : all
vocab_size : 1400
embedding_size : 50
hidden_size : 50
split : None
lr : 0.003
q_hidden_size : 50
lr_decay : 0.5
vocab_path : ./vocab/vocab10_slot_space.pkl
train : ./data/kvret/kvret_train_public.json
dev : ./data/kvret/kvret_dev_public.json
test : ./data/kvret/kvret_test_public.json
entity : ./data/kvret/kvret_entities.json
glove_path : ./data/glove/glove.6B.50d.txt
batch_size : 32
degree_size : 2
z_length : 8
layer_num : 1
dropout_rate : 0.5
epoch_num : 100
cuda : False
spv_proportion : 50
alpha : 0.1
max_ts : 40
early_stop_count : 5
new_vocab : True
model_path : ./models/kvret.pkl
result_path : ./results/kvret.csv
teacher_force : 100
beam_search : False
beam_size : 5
sampling : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,user,generated_latent,latent,generated_response,response,u_len,m_len,supervised
185,0,what is the weather forecast in cleveland for thursday ?,thursday cleveland EOS_Z1 date location weather_attribute,thursday cleveland EOS_Z1 date location weather_attribute,"it will be weather_attribute_SLOT on thursday , and weather_attribute_SLOT on thursday , and weather_attribute_SLOT on thursday , and weather_attribute_SLOT on thursday , and weather_attribute_SLOT on sunday .",the weather in cleveland on thursday will have weather_attribute_SLOT and a high of temperature_SLOT .,11,16,False
41,0,what will be the highest temperature on friday in mountain view ?,highest temperature friday mountain view EOS_Z1 date location,highest temperature friday mountain view EOS_Z1 date location weather_attribute,it will be temperature in mountain view .,"on friday , the highest temperature in mountain view is predicted to be temperature_SLOT",13,15,False
283,0,what is the date and time of my next meeting and who will be attending it ?,meeting EOS_Z1 date event time,meeting EOS_Z1 date event party time,your next meeting is at time_SLOT with party_SLOT .,your next meeting is with your party_SLOT on the date_SLOT at time_SLOT .,18,14,False
267,0,please give me information about my conference .,conference EOS_Z1 date event,conference EOS_Z1 date event party time,you have two conference scheduled . one on the date_SLOT at time_SLOT with your party_SLOT .,you have a conference on the date_SLOT at time_SLOT with party_SLOT,9,12,False
281,0,what time is my lab appointment and who will be attending ?,lab appointment EOS_Z1 date event time,lab appointment EOS_Z1 event party time,your next lab appointment is on date_SLOT at time_SLOT with party_SLOT and one on the date_SLOT with your party_SLOT .,your lab appointment is at time_SLOT with party_SLOT and another one at time_SLOT with party_SLOT .,13,17,False
167,0,what 's the highest temperature going to be in cleveland this week ?,highest temperature cleveland EOS_Z1 date location weather_attribute,highest temperature cleveland EOS_Z1 date location weather_attribute,the highest temperature in cleveland is temperature_SLOT,this week the highest temperature in cleveland will be temperature_SLOT on saturday,14,13,False
188,0,schedule a swimming activity with my brother for the 7th at 11am .,7th brother swimming activity 11am EOS_Z1 date event,7th brother swimming activity 11am EOS_Z1 date event party time,"okay , scheduling a swimming activity with your brother for the 7th at 11am .","okay , scheduling a swimming activity with your brother for the 7th at 11am .",14,16,False
222,0,how is gon na be the weather forecast in san mateo for the next weekend ?,weekend san mateo EOS_Z1 date location weather_attribute,san mateo EOS_Z1 date location weather_attribute,"it will be weather_attribute_SLOT in san mateo on monday and weather_attribute_SLOT on sunday , and weather_attribute_SLOT on sunday .","in san mateo it will be weather_attribute_SLOT on saturday , and weather_attribute_SLOT on sunday",17,15,False
152,0,when am i going swimming ?,swimming EOS_Z1 date event time,swimming activity EOS_Z1 date event time,your next swimming class is date_SLOT at time_SLOT .,you have two event_SLOT scheduled . one on date_SLOT at time_SLOT and the other on the date_SLOT at time_SLOT .,7,21,False
89,0,what time do i go to yoga and who is going with me ?,yoga EOS_Z1 date event time,yoga EOS_Z1 event party time,"you have two yoga scheduled . one on date_SLOT with your party_SLOT , and one on the date_SLOT with your party_SLOT .",yoga is with party_SLOT at time_SLOT .,15,8,False
